objectid,park_name,site_number,table_count,comments,data_source,lat,lng
73,Pennypack on the Delaware,6,1,,"2017 Field Collection, Pictometry 2020",40.02796178582665,-75.01135255193459
74,Penn Treaty Park,1,3,,"2020 StreetSmart; NearMap 2021",39.96691225061935,-75.12839702821536
75,Penn Treaty Park,2,3,,"2020 StreetSmart; NearMap 2021",39.96673948261278,-75.12839427850159
76,Joseph E Mander Playground,0,7,,"Pictometry 2020, 2018 Street Smart",39.988878025206276,-75.18727115646776
77,Cobbs Creek Park,1,3,N of Haverford Ave,"2018 Street Smart, Pictometry 2020",39.97291758502139,-75.25517986383656
78,Cobbs Creek Park,2,3,N of Haverford Ave,"2018 Street Smart, Pictometry 2020",39.97303263514535,-75.25543794244588
79,Cobbs Creek Park,4,3,N of Haverford Ave,"2018 Street Smart, Pictometry 2020",39.97382480630434,-75.25643539529865
80,Cobbs Creek Park,3,3,N of Haverford Ave,"2018 Street Smart, Pictometry 2020",39.97328497274536,-75.25619007454388
81,West Fairmount Park,4,3,Next to Kelly Pool,2020 Street Smart,39.978316348543885,-75.20765274690562
82,West Fairmount Park,3,4,Next to Kelly Pool,2017 Field Collection,39.97845293861947,-75.20736562236385
83,West Fairmount Park,2,4,Next to Kelly Pool,2020 Street Smart,39.978900629371736,-75.20704253076732
84,East Fairmount Park,8,3,North to Lemon Hill,"2018 Street Smart, Pictometry 2020",39.9723856757768,-75.18726869122618
85,East Fairmount Park,5,2,North of Lemon Hill Pavilion under trees.,NearMap 2021,39.97206685424485,-75.18783644733476
86,East Fairmount Park,1,3,Lemon Hill Pavilion,2017 Field Collection,39.97173768535397,-75.18782649020848
87,East Fairmount Park,6,3,North to Lemon Hill,"2018 Street Smart, Pictometry 2020",39.97237719960799,-75.18816550928501
88,East Fairmount Park,7,3,North to Lemon Hill,"2018 Street Smart, Pictometry 2020",39.971733664221155,-75.18874099369413
89,East Fairmount Park,2,3,North to Lemon Hill,"2017 Field Collection, Pictometry 2020",39.97136965293431,-75.18848418423504
90,West Fairmount Park,4,3,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99472312605775,-75.21317070784906
91,West Fairmount Park,3,3,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99465678601395,-75.21346836626242
92,West Fairmount Park,2,1,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99450658451281,-75.21386902892466
93,West Fairmount Park,1,3,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99434287249799,-75.21401052792629
94,Chamounix Tennis Courts,0,2,Chamounix Tennis Courts Pavilion,2020 Street Smart,39.99926218603915,-75.20223038439131
95,West Fairmount Park,1,5,West Fairmount Park-North Georges Hill Picnic Pavilion,2020 Street Smart,39.98707619649391,-75.22286509171934
96,West Fairmount Park,2,3,West Fairmount Park-North Georges Hill Picnic Pavilion Area,"2020 StreetSmart; NearMap 2021",39.98666213239298,-75.22297878624086
97,West Fairmount Park,4,1,North to Tugboat House at Belmont Landing,"2020 Street Smart, Pictometry 2020",39.98215030129358,-75.20526421707967
98,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.991312426627815,-75.20003038766961
99,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.990773903007394,-75.20067294624171
100,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.99054723110269,-75.20115890226529
101,East Fairmount Park,2,3,N 33rd St and Cecil B Moore Ave,"Pictometry 2020, 2018 Street Smart",39.98308203382432,-75.18892308330587
102,Joseph E Mander Playground,2,3,,"2020 StreetSmart;NearMap 2021",39.989770137061306,-75.18926703804014
103,Joseph E Mander Playground,4,3,,"Pictometry 2020, 2018 Street Smart",39.990889124090046,-75.1893456830608
104,Joseph E Mander Playground,3,2,,"Pictometry 2020, 2018 Street Smart",39.9918985428035,-75.1886337000252
105,Belmont Plateau ,1,3,West Fairmount Park,"2018 Street Smart, Pictometry 2020",39.98840331146477,-75.21420213708488
106,Belmont Plateau ,2,3,West Fairmount Park,"2017 Field Collection, Pictometry 2020",39.98889487857629,-75.21379142260864
107,Belmont Plateau ,3,3,West Fairmount Park,"2018 Street Smart, Pictometry 2020",39.98883828341913,-75.21422438436446
108,Belmont Plateau ,5,3,West Fairmount Park,"2017 Field Collection, Pictometry 2020",39.98844120788576,-75.21165213232986
109,Belmont Plateau ,4,3,West Fairmount Park,"2017 Field Collection, Pictometry 2020",39.98864696624101,-75.2116228946679
110,Belmont Plateau ,7,2,West Fairmount Park,"2018 Street Smart, Pictometry 2020",39.989905928604074,-75.21342537858055
111,Cobbs Creek Park,1,3,Florence Ave and S 59th St,"2018 Street Smart, Pictometry 2020",39.93732001280017,-75.2342006191888
112,Cobbs Creek Park,2,2,Florence Ave and S 59th St,"2018 Street Smart, Pictometry 2020",39.93757583895077,-75.23425550073571
113,Whitby Avenue Playground,1,3,Located in Cobbs Creek Park,"2020 Street Smart; 2020 Pictometry",39.94098193660881,-75.23790600953467
114,Whitby Avenue Playground,2,3,Located in Cobbs Creek Park,"2020 Street Smart; 2020 Pictometry",39.940746199670265,-75.23800104852597
115,Whitby Avenue Playground,4,3,Located in Cobbs Creek Park,"2017 Field Collection, Pictometry 2020",39.94074978362706,-75.23852409473993
